event_source,event_id,event_name,expected_case,retrieval_rank,retrieved_case_id,retrieval_relevance,retrieved_case_event_type,retrieved_case_nodes,retrieved_case_asset_types,retrieved_case_assets
hard_evaluation_cases,hard_middle_east_energy_ambiguous,hard_middle_east_energy_ambiguous,True,2,case_2022_abu_dhabi_oil_facility_attack,semantic_distance=0.8211,energy infrastructure disruption,energy;oil_shipping;refining;petrochemicals;aviation;defense,crude oil;energy producers;refiners;airlines;tanker operators;defense contractors,UAE energy infrastructure;regional crude exports;jet fuel supply chains;tanker routes;air defense systems
hard_evaluation_cases,hard_middle_east_energy_ambiguous,hard_middle_east_energy_ambiguous,False,3,case_2024_ukraine_drone_attacks_russian_refineries,semantic_distance=0.8333,wartime refinery disruption and refined-product supply risk,energy;refining;petrochemicals;pipeline_infrastructure;aviation;oil_shipping,refiners;energy producers;petrochemical companies;airlines;tanker operators,Russian refinery capacity;diesel and gasoline export flows;petrochemical feedstocks;jet fuel supply chains
hard_evaluation_cases,hard_financial_sanctions_payment_networks,hard_financial_sanctions_payment_networks,True,1,case_2022_russia_swift_financial_sanctions,semantic_distance=0.8295,financial sanctions and payment network disruption,financial_sanctions;payment_networks;customs;trade_lanes;energy,banks;payment networks;financial infrastructure providers;exporters;energy traders,cross-border payment flows;trade finance channels;Russian bank exposure;commodity settlement workflows
hard_evaluation_cases,hard_financial_sanctions_payment_networks,hard_financial_sanctions_payment_networks,False,2,case_2014_crimea_financial_sanctions,semantic_distance=0.9969,financial sanctions and trade finance restriction,financial_sanctions;payment_networks;customs;trade_lanes;energy;manufacturing_inputs,banks;energy companies;industrial exporters;trade finance providers;logistics firms,Russia-linked trade finance;cross-border payment flows;energy-sector financing;sanctions compliance systems
hard_evaluation_cases,hard_financial_sanctions_payment_networks,hard_financial_sanctions_payment_networks,False,3,case_2019_india_pakistan_airspace_closure,semantic_distance=1.0242,border military escalation and airspace disruption,aviation;defense;trade_lanes;freight_routes;logistics;manufacturing_inputs,airlines;air cargo operators;defense contractors;freight forwarders;manufacturers,South Asia air routes;Europe-Asia long-haul flights;air cargo schedules;regional defense procurement
hard_evaluation_cases,hard_port_labor_without_strike_keyword,hard_port_labor_without_strike_keyword,True,1,case_2024_us_east_gulf_port_strike,semantic_distance=0.8111,port labor and shipping logistics disruption,port_labor;ports;container_shipping;freight_routes;logistics;trade_lanes,port operators;container shipping companies;freight forwarders;retailers;manufacturers,US East Coast port throughput;container shipping schedules;retail import flows;manufacturing inputs
hard_evaluation_cases,hard_port_labor_without_strike_keyword,hard_port_labor_without_strike_keyword,False,2,case_2023_red_sea_attacks,semantic_distance=0.8262,maritime security disruption,maritime_chokepoint;container_shipping;freight_routes;marine_insurance;oil_shipping;lng_shipping;logistics,shipping equities;freight rates;marine insurers;energy transport;import-dependent retailers,container carriers;tanker operators;marine insurance underwriters;European importers;Asian exporters
hard_evaluation_cases,hard_port_labor_without_strike_keyword,hard_port_labor_without_strike_keyword,False,3,case_2021_suez_blockage,semantic_distance=0.8860,shipping chokepoint disruption,maritime_chokepoint;container_shipping;ports;freight_routes;logistics;energy,shipping equities;logistics companies;port operators;retail supply chains;energy cargoes,container shipping operators;freight forwarders;European and Asian importers;oil and LNG cargo flows
hard_evaluation_cases,hard_food_export_ban_paraphrased,hard_food_export_ban_paraphrased,True,1,case_2022_india_wheat_export_ban,semantic_distance=0.7931,food export ban and grain trade restriction,food_export_controls;grain_exports;agriculture;trade_lanes;customs;logistics,grain traders;agricultural commodities;food producers;logistics providers;fertilizer producers,wheat export flows;grain import supply chains;food manufacturing inputs;agricultural logistics
hard_evaluation_cases,hard_food_export_ban_paraphrased,hard_food_export_ban_paraphrased,False,2,case_2023_black_sea_shipping_insurance_restrictions,semantic_distance=0.8013,war-related maritime insurance and grain export disruption,grain_exports;agriculture;maritime_chokepoint;marine_insurance;freight_routes;logistics,grain traders;shipping companies;marine insurers;food producers;agricultural commodities,Ukrainian grain exports;Black Sea shipping routes;marine war-risk insurance;grain import supply chains
hard_evaluation_cases,hard_food_export_ban_paraphrased,hard_food_export_ban_paraphrased,False,3,case_2008_rice_export_restrictions_food_security,semantic_distance=0.8426,food export controls and agricultural trade disruption,agriculture;grain_exports;food_export_controls;trade_lanes;customs;logistics,grain traders;food producers;agricultural processors;logistics providers;commodity funds,rice export flows;grain import procurement;food processing inputs;agricultural trade lanes
hard_evaluation_cases,hard_aerospace_sanctions_supply_chain,hard_aerospace_sanctions_supply_chain,True,1,case_2022_russia_aviation_supply_chain_sanctions,semantic_distance=0.7376,aerospace supply-chain sanctions,aerospace_supply_chain;aviation;manufacturing_inputs;trade_lanes;customs;defense,aircraft manufacturers;airlines;aircraft lessors;aerospace suppliers;defense contractors,aircraft leasing portfolios;aerospace parts supply;maintenance service networks;international route planning
hard_evaluation_cases,hard_aerospace_sanctions_supply_chain,hard_aerospace_sanctions_supply_chain,False,2,case_2019_huawei_entity_list,semantic_distance=0.7590,technology sanctions and trade restrictions,ai_chips;semiconductor_equipment;eda_software;manufacturing_inputs;data_centers;customs,telecom equipment vendors;semiconductor suppliers;software providers;5G infrastructure;consumer electronics,Huawei supply chain;US chip suppliers;mobile device software ecosystems;telecom carrier procurement plans
hard_evaluation_cases,hard_aerospace_sanctions_supply_chain,hard_aerospace_sanctions_supply_chain,False,3,case_2022_russia_airspace_closure_aviation_routes,semantic_distance=0.8347,airspace closure and aviation logistics disruption,aviation;aerospace_supply_chain;freight_routes;energy;logistics;customs,airlines;air cargo operators;aerospace manufacturers;logistics providers;energy suppliers,Europe-Asia flight routes;North America-Asia cargo lanes;airline fuel exposure;time-sensitive freight schedules
hard_evaluation_cases,hard_taiwan_semiconductor_indirect,hard_taiwan_semiconductor_indirect,True,1,case_taiwan_strait_semiconductor_risk,semantic_distance=0.6004,regional military tension and semiconductor supply risk,foundry;ai_chips;semiconductor_equipment;data_centers;manufacturing_inputs;defense,semiconductor foundries;advanced chip designers;electronics manufacturers;data center suppliers;defense contractors,Taiwan semiconductor fabrication capacity;advanced GPU supply chains;consumer electronics supply chains;cloud data center hardware
hard_evaluation_cases,hard_taiwan_semiconductor_indirect,hard_taiwan_semiconductor_indirect,True,2,case_2024_taiwan_strait_drills_semiconductor_supply,semantic_distance=0.6371,taiwan strait semiconductor supply-chain disruption,taiwan_semiconductor_supply;foundry;ai_chips;semiconductor_equipment;data_centers;defense,semiconductor foundries;AI chip designers;semiconductor equipment companies;electronics manufacturers;data center suppliers,Taiwan advanced foundry capacity;AI accelerator supply chains;semiconductor equipment demand planning;electronics hardware supply
hard_evaluation_cases,hard_taiwan_semiconductor_indirect,hard_taiwan_semiconductor_indirect,False,3,case_2022_us_china_semiconductor_controls,semantic_distance=0.6989,technology export controls,ai_chips;semiconductor_equipment;eda_software;foundry;data_centers,semiconductor equipment companies;advanced chip designers;foundries;Chinese technology firms;electronics supply chains,advanced GPU supply;wafer fabrication equipment;EDA software access;Chinese data center operators;global semiconductor suppliers
hard_evaluation_cases,hard_cyber_infrastructure_indirect,hard_cyber_infrastructure_indirect,True,1,case_2023_port_of_nagoya_cyberattack,semantic_distance=0.6881,cyber infrastructure disruption,cyber_infrastructure;ports;logistics;freight_routes;manufacturing_inputs,port operators;logistics providers;automakers;cybersecurity companies;manufacturers,container terminal operations;automotive parts logistics;port scheduling systems;cybersecurity services
hard_evaluation_cases,hard_cyber_infrastructure_indirect,hard_cyber_infrastructure_indirect,True,2,case_cyberattack_pipeline_port_infrastructure,semantic_distance=0.8469,cyber infrastructure disruption,cyber_infrastructure;pipeline_infrastructure;ports;energy;logistics;freight_routes,pipeline operators;port operators;fuel distributors;logistics providers;cybersecurity companies,fuel pipeline networks;port terminal operations;truck and freight distribution;cybersecurity services
hard_evaluation_cases,hard_cyber_infrastructure_indirect,hard_cyber_infrastructure_indirect,False,3,case_2023_dp_world_australia_cyber_port_disruption,semantic_distance=0.8597,cyberattack on port logistics infrastructure,cyber_infrastructure;ports;container_shipping;logistics;freight_routes;trade_lanes,port operators;container shipping companies;freight forwarders;retailers;cybersecurity providers,Australian container terminals;Asia-Pacific freight routes;port operating systems;retail import logistics
hard_evaluation_cases,hard_negative_consumer_product_launch,hard_negative_consumer_product_launch,False,1,case_2023_china_graphite_battery_export_controls,semantic_distance=1.2591,battery material export controls,battery_materials;graphite;critical_minerals;gallium_germanium_graphite;manufacturing_inputs;customs,battery material producers;EV manufacturers;graphite miners;critical mineral processors;electronics supply chains,graphite anode materials;battery cell inputs;EV battery supply chains;critical mineral processing capacity
hard_evaluation_cases,hard_negative_consumer_product_launch,hard_negative_consumer_product_launch,False,2,case_2022_chile_lithium_policy_shift,semantic_distance=1.3025,resource nationalism and battery material policy risk,battery_materials;critical_minerals;manufacturing_inputs;customs;trade_lanes,lithium producers;battery manufacturers;EV supply chains;critical mineral processors;electronics manufacturers,Chile lithium supply;battery cathode and cell inputs;EV manufacturing supply chains;critical mineral procurement plans
hard_evaluation_cases,hard_negative_consumer_product_launch,hard_negative_consumer_product_launch,False,3,case_china_gallium_germanium_graphite_controls,semantic_distance=1.3555,critical minerals export controls,critical_minerals;gallium_germanium_graphite;semiconductor_equipment;ai_chips;manufacturing_inputs;customs,semiconductor suppliers;battery manufacturers;solar equipment producers;EV supply chains;critical mineral processors,gallium and germanium supply;graphite anode materials;compound semiconductor inputs;battery material supply chains
hard_evaluation_cases,hard_negative_sports_and_media,hard_negative_sports_and_media,False,1,case_2022_russia_swift_financial_sanctions,semantic_distance=1.3048,financial sanctions and payment network disruption,financial_sanctions;payment_networks;customs;trade_lanes;energy,banks;payment networks;financial infrastructure providers;exporters;energy traders,cross-border payment flows;trade finance channels;Russian bank exposure;commodity settlement workflows
hard_evaluation_cases,hard_negative_sports_and_media,hard_negative_sports_and_media,False,2,case_2022_russia_aviation_supply_chain_sanctions,semantic_distance=1.3559,aerospace supply-chain sanctions,aerospace_supply_chain;aviation;manufacturing_inputs;trade_lanes;customs;defense,aircraft manufacturers;airlines;aircraft lessors;aerospace suppliers;defense contractors,aircraft leasing portfolios;aerospace parts supply;maintenance service networks;international route planning
hard_evaluation_cases,hard_negative_sports_and_media,hard_negative_sports_and_media,False,3,case_2022_turkey_strait_tanker_insurance_backlog,semantic_distance=1.3871,maritime insurance verification and tanker-route disruption,maritime_chokepoint;oil_shipping;marine_insurance;financial_sanctions;customs;freight_routes;logistics,tanker operators;marine insurers;energy traders;logistics providers;trade compliance providers,Turkish straits tanker transits;Black Sea oil cargoes;marine insurance documentation;energy trade compliance workflows
validation_v3,v3_20250404_china_rare_earth_export_controls,China imposes rare-earth export controls after U.S. tariff escalation,False,1,case_rare_earth_export_restriction_risk,semantic_distance=0.5099,critical minerals export restriction,rare_earths;critical_minerals;manufacturing_inputs;defense;energy,rare earth miners;magnet producers;EV supply chains;wind turbine manufacturers;defense electronics suppliers,rare earth oxide supply;permanent magnet supply chains;EV motor components;wind turbine components;defense sensor components
validation_v3,v3_20250404_china_rare_earth_export_controls,China imposes rare-earth export controls after U.S. tariff escalation,False,2,case_2010_china_japan_rare_earth_embargo,semantic_distance=0.5325,rare earth export restriction and electronics input disruption,critical_minerals;rare_earths;manufacturing_inputs;customs;defense;trade_lanes,rare earth producers;electronics manufacturers;automakers;defense contractors;clean technology manufacturers,rare earth oxide supply;magnet materials;electronics components;defense and automotive supply chains
validation_v3,v3_20250404_china_rare_earth_export_controls,China imposes rare-earth export controls after U.S. tariff escalation,False,3,case_china_gallium_germanium_graphite_controls,semantic_distance=0.5440,critical minerals export controls,critical_minerals;gallium_germanium_graphite;semiconductor_equipment;ai_chips;manufacturing_inputs;customs,semiconductor suppliers;battery manufacturers;solar equipment producers;EV supply chains;critical mineral processors,gallium and germanium supply;graphite anode materials;compound semiconductor inputs;battery material supply chains
validation_v3,v3_20250225_copper_import_investigation,U.S. launches Section 232 investigation into copper import dependence,False,1,case_2023_panama_cobre_mine_closure,semantic_distance=0.6620,resource contract dispute and critical mineral supply disruption,critical_minerals;battery_materials;manufacturing_inputs;customs;ports;trade_lanes,miners;industrial manufacturers;battery supply chains;port operators;commodity traders,Panama copper concentrate supply;mine export logistics;industrial copper inputs;battery and grid supply chains
validation_v3,v3_20250225_copper_import_investigation,U.S. launches Section 232 investigation into copper import dependence,False,2,case_2021_xinjiang_forced_labor_import_restrictions,semantic_distance=0.7969,forced-labor import restriction and customs compliance risk,customs;trade_lanes;manufacturing_inputs;critical_minerals;logistics,solar equipment manufacturers;electronics importers;retailers;logistics providers;customs brokers,solar module supply chains;polysilicon-linked inputs;electronics imports;customs compliance workflows
validation_v3,v3_20250225_copper_import_investigation,U.S. launches Section 232 investigation into copper import dependence,False,3,case_rare_earth_export_restriction_risk,semantic_distance=0.8151,critical minerals export restriction,rare_earths;critical_minerals;manufacturing_inputs;defense;energy,rare earth miners;magnet producers;EV supply chains;wind turbine manufacturers;defense electronics suppliers,rare earth oxide supply;permanent magnet supply chains;EV motor components;wind turbine components;defense sensor components
validation_v3,v3_20240624_eu_russian_lng_transshipment_ban,EU sanctions package bans Russian LNG transshipment services through EU territory,False,1,case_2023_arctic_lng_russian_energy_shipping_sanctions,semantic_distance=0.5496,energy shipping sanctions and Arctic LNG disruption risk,lng_shipping;energy;marine_insurance;financial_sanctions;payment_networks;maritime_chokepoint;oil_shipping,LNG carriers;energy producers;marine insurers;banks;gas utilities;shipbuilders,Russian Arctic LNG cargoes;ice-class LNG carrier availability;energy trade finance;marine insurance coverage;Asian LNG procurement
validation_v3,v3_20240624_eu_russian_lng_transshipment_ban,EU sanctions package bans Russian LNG transshipment services through EU territory,False,2,case_russia_ukraine_energy_shock,semantic_distance=0.6296,war and sanctions energy disruption,energy;lng_shipping;refining;petrochemicals;manufacturing_inputs,natural gas;crude oil;utilities;chemicals;metals producers;LNG infrastructure,European gas benchmarks;LNG import terminals;energy-intensive manufacturers;power utilities;fertilizer producers
validation_v3,v3_20240624_eu_russian_lng_transshipment_ban,EU sanctions package bans Russian LNG transshipment services through EU territory,False,3,case_2014_crimea_financial_sanctions,semantic_distance=0.6851,financial sanctions and trade finance restriction,financial_sanctions;payment_networks;customs;trade_lanes;energy;manufacturing_inputs,banks;energy companies;industrial exporters;trade finance providers;logistics firms,Russia-linked trade finance;cross-border payment flows;energy-sector financing;sanctions compliance systems
validation_v3,v3_20240306_true_confidence_attack,Houthi anti-ship missile strikes M/V True Confidence in Gulf of Aden,False,1,case_1987_1988_tanker_war_reflagging,semantic_distance=0.8660,maritime chokepoint security and oil shipping disruption,maritime_chokepoint;oil_shipping;marine_insurance;freight_routes;energy;defense;logistics,tanker operators;energy producers;marine insurers;logistics providers;defense contractors,Persian Gulf tanker routes;crude oil cargo schedules;marine war-risk insurance;energy shipping logistics
validation_v3,v3_20240306_true_confidence_attack,Houthi anti-ship missile strikes M/V True Confidence in Gulf of Aden,False,2,case_2023_south_china_sea_shipping_tensions,semantic_distance=0.9194,maritime military tension and shipping-route risk,maritime_chokepoint;container_shipping;freight_routes;marine_insurance;defense;logistics;trade_lanes,container shipping companies;marine insurers;logistics providers;defense contractors;electronics manufacturers,South China Sea trade lanes;Asia container shipping routes;marine insurance coverage;regional electronics supply chains
validation_v3,v3_20240306_true_confidence_attack,Houthi anti-ship missile strikes M/V True Confidence in Gulf of Aden,False,3,case_2023_red_sea_attacks,semantic_distance=0.9960,maritime security disruption,maritime_chokepoint;container_shipping;freight_routes;marine_insurance;oil_shipping;lng_shipping;logistics,shipping equities;freight rates;marine insurers;energy transport;import-dependent retailers,container carriers;tanker operators;marine insurance underwriters;European importers;Asian exporters
validation_v3,v3_20241203_iran_shadow_fleet_sanctions,U.S. sanctions Iranian shadow-fleet petroleum transport entities and vessels,False,1,case_2018_iran_oil_sanctions_reimposition,semantic_distance=0.5105,oil sanctions and shipping finance restriction,energy;oil_shipping;refining;petrochemicals;financial_sanctions;payment_networks;marine_insurance,crude oil;tanker operators;refiners;marine insurers;banks;petrochemical producers,Iranian crude exports;oil tanker routes;refinery feedstock sourcing;shipping insurance services;trade finance channels
validation_v3,v3_20241203_iran_shadow_fleet_sanctions,U.S. sanctions Iranian shadow-fleet petroleum transport entities and vessels,False,2,case_2019_cosco_shipping_sanctions_tanker_market,semantic_distance=0.5214,shipping sanctions and marine insurance compliance disruption,financial_sanctions;oil_shipping;marine_insurance;payment_networks;customs;trade_lanes;logistics,tanker operators;marine insurers;energy traders;banks;freight brokers,crude tanker chartering;sanctions-screened oil cargoes;marine insurance approvals;energy trade payments
validation_v3,v3_20241203_iran_shadow_fleet_sanctions,U.S. sanctions Iranian shadow-fleet petroleum transport entities and vessels,False,3,case_2018_iran_swift_restrictions,semantic_distance=0.5764,sanctions payment network and oil trade restriction,financial_sanctions;payment_networks;oil_shipping;marine_insurance;customs;trade_lanes,banks;payment networks;oil shippers;marine insurers;energy traders,Iran oil trade payments;cross-border banking channels;marine insurance approvals;oil shipping compliance documentation
validation_v3,v3_20240223_sovcomflot_sanctions,U.S. sanctions Sovcomflot and tankers tied to Russian oil shipping,False,1,case_2023_arctic_lng_russian_energy_shipping_sanctions,semantic_distance=0.6566,energy shipping sanctions and Arctic LNG disruption risk,lng_shipping;energy;marine_insurance;financial_sanctions;payment_networks;maritime_chokepoint;oil_shipping,LNG carriers;energy producers;marine insurers;banks;gas utilities;shipbuilders,Russian Arctic LNG cargoes;ice-class LNG carrier availability;energy trade finance;marine insurance coverage;Asian LNG procurement
validation_v3,v3_20240223_sovcomflot_sanctions,U.S. sanctions Sovcomflot and tankers tied to Russian oil shipping,False,2,case_2019_venezuela_oil_sanctions,semantic_distance=0.6754,oil sanctions and refinery feedstock disruption,energy;oil_shipping;refining;petrochemicals;financial_sanctions;payment_networks,heavy crude;refiners;tanker operators;energy producers;banks,Venezuelan crude exports;US Gulf Coast refinery feedstocks;oil shipping routes;trade finance services
validation_v3,v3_20240223_sovcomflot_sanctions,U.S. sanctions Sovcomflot and tankers tied to Russian oil shipping,False,3,case_2018_iran_oil_sanctions_reimposition,semantic_distance=0.6891,oil sanctions and shipping finance restriction,energy;oil_shipping;refining;petrochemicals;financial_sanctions;payment_networks;marine_insurance,crude oil;tanker operators;refiners;marine insurers;banks;petrochemical producers,Iranian crude exports;oil tanker routes;refinery feedstock sourcing;shipping insurance services;trade finance channels
validation_v3,v3_20240913_ustr_section301_tariffs_final,USTR finalizes China Section 301 tariff modifications after four-year review,False,1,case_china_gallium_germanium_graphite_controls,semantic_distance=0.7000,critical minerals export controls,critical_minerals;gallium_germanium_graphite;semiconductor_equipment;ai_chips;manufacturing_inputs;customs,semiconductor suppliers;battery manufacturers;solar equipment producers;EV supply chains;critical mineral processors,gallium and germanium supply;graphite anode materials;compound semiconductor inputs;battery material supply chains
validation_v3,v3_20240913_ustr_section301_tariffs_final,USTR finalizes China Section 301 tariff modifications after four-year review,False,2,case_2024_ev_tariff_escalation_china,semantic_distance=0.7003,tariff escalation and clean technology trade restriction,customs;trade_lanes;battery_materials;manufacturing_inputs;logistics;critical_minerals,EV manufacturers;battery suppliers;solar equipment producers;logistics providers;manufacturers,EV import flows;battery component supply chains;solar equipment imports;clean technology manufacturing inputs
validation_v3,v3_20240913_ustr_section301_tariffs_final,USTR finalizes China Section 301 tariff modifications after four-year review,False,3,case_2023_china_graphite_battery_export_controls,semantic_distance=0.7316,battery material export controls,battery_materials;graphite;critical_minerals;gallium_germanium_graphite;manufacturing_inputs;customs,battery material producers;EV manufacturers;graphite miners;critical mineral processors;electronics supply chains,graphite anode materials;battery cell inputs;EV battery supply chains;critical mineral processing capacity
validation_v3,v3_20250730_copper_tariffs,U.S. imposes Section 232 tariffs on copper products,False,1,case_2023_panama_cobre_mine_closure,semantic_distance=0.6623,resource contract dispute and critical mineral supply disruption,critical_minerals;battery_materials;manufacturing_inputs;customs;ports;trade_lanes,miners;industrial manufacturers;battery supply chains;port operators;commodity traders,Panama copper concentrate supply;mine export logistics;industrial copper inputs;battery and grid supply chains
validation_v3,v3_20250730_copper_tariffs,U.S. imposes Section 232 tariffs on copper products,False,2,case_2024_ev_tariff_escalation_china,semantic_distance=0.7425,tariff escalation and clean technology trade restriction,customs;trade_lanes;battery_materials;manufacturing_inputs;logistics;critical_minerals,EV manufacturers;battery suppliers;solar equipment producers;logistics providers;manufacturers,EV import flows;battery component supply chains;solar equipment imports;clean technology manufacturing inputs
validation_v3,v3_20250730_copper_tariffs,U.S. imposes Section 232 tariffs on copper products,False,3,case_2021_xinjiang_forced_labor_import_restrictions,semantic_distance=0.7835,forced-labor import restriction and customs compliance risk,customs;trade_lanes;manufacturing_inputs;critical_minerals;logistics,solar equipment manufacturers;electronics importers;retailers;logistics providers;customs brokers,solar module supply chains;polysilicon-linked inputs;electronics imports;customs compliance workflows
validation_v3,v3_20240821_sounion_tanker_attack,MV Sounion oil tanker attacked in the Red Sea,False,1,case_2023_red_sea_attacks,semantic_distance=0.8439,maritime security disruption,maritime_chokepoint;container_shipping;freight_routes;marine_insurance;oil_shipping;lng_shipping;logistics,shipping equities;freight rates;marine insurers;energy transport;import-dependent retailers,container carriers;tanker operators;marine insurance underwriters;European importers;Asian exporters
validation_v3,v3_20240821_sounion_tanker_attack,MV Sounion oil tanker attacked in the Red Sea,False,2,case_1987_1988_tanker_war_reflagging,semantic_distance=0.8591,maritime chokepoint security and oil shipping disruption,maritime_chokepoint;oil_shipping;marine_insurance;freight_routes;energy;defense;logistics,tanker operators;energy producers;marine insurers;logistics providers;defense contractors,Persian Gulf tanker routes;crude oil cargo schedules;marine war-risk insurance;energy shipping logistics
validation_v3,v3_20240821_sounion_tanker_attack,MV Sounion oil tanker attacked in the Red Sea,False,3,case_hormuz_tanker_tensions,semantic_distance=0.9272,energy chokepoint security risk,maritime_chokepoint;oil_shipping;lng_shipping;marine_insurance;energy;refining,crude oil;LNG;tanker operators;energy producers;refiners;marine insurers,Persian Gulf crude exports;LNG cargoes from Qatar;tanker fleets;oil importers;refining margins
validation_v3,v3_20250110_us_russia_oil_sanctions,U.S. sanctions Russian oil producers and shadow-fleet vessels,False,1,case_2023_arctic_lng_russian_energy_shipping_sanctions,semantic_distance=0.5633,energy shipping sanctions and Arctic LNG disruption risk,lng_shipping;energy;marine_insurance;financial_sanctions;payment_networks;maritime_chokepoint;oil_shipping,LNG carriers;energy producers;marine insurers;banks;gas utilities;shipbuilders,Russian Arctic LNG cargoes;ice-class LNG carrier availability;energy trade finance;marine insurance coverage;Asian LNG procurement
validation_v3,v3_20250110_us_russia_oil_sanctions,U.S. sanctions Russian oil producers and shadow-fleet vessels,False,2,case_2018_iran_oil_sanctions_reimposition,semantic_distance=0.5871,oil sanctions and shipping finance restriction,energy;oil_shipping;refining;petrochemicals;financial_sanctions;payment_networks;marine_insurance,crude oil;tanker operators;refiners;marine insurers;banks;petrochemical producers,Iranian crude exports;oil tanker routes;refinery feedstock sourcing;shipping insurance services;trade finance channels
validation_v3,v3_20250110_us_russia_oil_sanctions,U.S. sanctions Russian oil producers and shadow-fleet vessels,False,3,case_2019_venezuela_oil_sanctions,semantic_distance=0.6272,oil sanctions and refinery feedstock disruption,energy;oil_shipping;refining;petrochemicals;financial_sanctions;payment_networks,heavy crude;refiners;tanker operators;energy producers;banks,Venezuelan crude exports;US Gulf Coast refinery feedstocks;oil shipping routes;trade finance services
validation_v3,v3_20250224_eu_16th_russia_sanctions,EU adopts 16th Russia sanctions package targeting shadow fleet and military suppliers,False,1,case_2023_arctic_lng_russian_energy_shipping_sanctions,semantic_distance=0.6389,energy shipping sanctions and Arctic LNG disruption risk,lng_shipping;energy;marine_insurance;financial_sanctions;payment_networks;maritime_chokepoint;oil_shipping,LNG carriers;energy producers;marine insurers;banks;gas utilities;shipbuilders,Russian Arctic LNG cargoes;ice-class LNG carrier availability;energy trade finance;marine insurance coverage;Asian LNG procurement
validation_v3,v3_20250224_eu_16th_russia_sanctions,EU adopts 16th Russia sanctions package targeting shadow fleet and military suppliers,False,2,case_2014_crimea_financial_sanctions,semantic_distance=0.6428,financial sanctions and trade finance restriction,financial_sanctions;payment_networks;customs;trade_lanes;energy;manufacturing_inputs,banks;energy companies;industrial exporters;trade finance providers;logistics firms,Russia-linked trade finance;cross-border payment flows;energy-sector financing;sanctions compliance systems
validation_v3,v3_20250224_eu_16th_russia_sanctions,EU adopts 16th Russia sanctions package targeting shadow fleet and military suppliers,False,3,case_2018_iran_oil_sanctions_reimposition,semantic_distance=0.6810,oil sanctions and shipping finance restriction,energy;oil_shipping;refining;petrochemicals;financial_sanctions;payment_networks;marine_insurance,crude oil;tanker operators;refiners;marine insurers;banks;petrochemical producers,Iranian crude exports;oil tanker routes;refinery feedstock sourcing;shipping insurance services;trade finance channels
validation_v3,v3_20250201_canada_mexico_china_tariffs,"U.S. imposes tariffs on imports from Canada, Mexico and China",False,1,case_2018_2019_us_china_tariffs,semantic_distance=0.5510,trade policy and tariffs,trade_lanes;customs;manufacturing_inputs;agriculture;logistics,manufacturers;retailers;agricultural commodities;industrial exporters;logistics providers,US soybean exports;Chinese manufactured goods;electronics importers;industrial machinery exporters;retail supply chains
validation_v3,v3_20250201_canada_mexico_china_tariffs,"U.S. imposes tariffs on imports from Canada, Mexico and China",False,2,case_2024_ev_tariff_escalation_china,semantic_distance=0.6195,tariff escalation and clean technology trade restriction,customs;trade_lanes;battery_materials;manufacturing_inputs;logistics;critical_minerals,EV manufacturers;battery suppliers;solar equipment producers;logistics providers;manufacturers,EV import flows;battery component supply chains;solar equipment imports;clean technology manufacturing inputs
validation_v3,v3_20250201_canada_mexico_china_tariffs,"U.S. imposes tariffs on imports from Canada, Mexico and China",False,3,case_2021_xinjiang_forced_labor_import_restrictions,semantic_distance=0.7201,forced-labor import restriction and customs compliance risk,customs;trade_lanes;manufacturing_inputs;critical_minerals;logistics,solar equipment manufacturers;electronics importers;retailers;logistics providers;customs brokers,solar module supply chains;polysilicon-linked inputs;electronics imports;customs compliance workflows
